Question,Grade applied,KCs applied,Source,label
"Use your MCAS ruler to answer question 13. 
A rectangle is shown below. 
y2016_grade3_q13_img_1.png 
a. {'element_type': 'text-plain', 'element_value': 'Draw line segments on the rectangle to divide the rectangle into 8 equal parts.'} 
b. {'element_type': 'text-plain', 'element_value': 'What fraction of the area of the whole rectangle is the area of each part?'} 
",3,3.G.2,MCAS,0
"The owner of a new store is printing 7,520 coupons. The coupons will be sent to 32 locations. Each location will receive the same number of coupons. What is the total number of coupons each location will receive? 
Enter your answer in the answer boxes at the top of the answer grid and completely fill the matching circles. 
",5,5.NBT.6,MCAS,2
"Point Q is shown on this number line. 
y2018_grade3_q1_img_1.png 
Which fraction best names point Q on the number line? 
 A $$ \frac{1}{4} $$ 
 B $$ \frac{1}{3} $$ 
 C $$ \frac{3}{4} $$ 
 D $$ \frac{4}{4} $$ 

",3,3.NF.2,MCAS,0
"Use your MCAS ruler to answer question 3. 
In your Student Answer Booklet, draw two lines that are perpendicular. 
",4,4.G.1,MCAS,1
"Daniel has 44 commemorative plates and 33 commemorative spoons. He wants to display them in groups throughout his house, each with the same combination of plates and spoons, with none left over. What is the greatest number of groups Daniel can display?",6,['6.NS.B.4'],ASDiv,3
"Bianca read 5 books last month. The number of pages in each book that Bianca read is listed in the box below. 
120, 106, 94, 100, 180 
What is the mean absolute deviation of the number of pages in the 5 books Bianca read? 
 A 24 
 B 30 
 C 106 
 D 120 

",6,6.SP.5,MCAS,3
"An angle turns through $$ \frac{1}{4} $$ of a circle. What is the measure, in degrees, of the angle? 
Enter your answer in the answer boxes at the top of the answer grid and completely fill the matching circles. 
",4,4.MD.5,MCAS,1
"This question has four parts. 
The floor of Sophia’s bathroom is in the shape of a rectangle. She covered the floor with square tiles, as shown. 
y2018_grade5_q25_img_1.png 
Part A 
What is the width, in feet, of the floor? 
Enter your answer in the space provided. 
Part B 
Write an equation that can be used to find s, the area in square feet of the floor. 
Enter your equation in the space provided. 
Part C 
Use your equation from Part B to find s, the area in square feet of the floor. Show or explain how you got your answer. 
Enter your answer and your work or explanation in the space provided. 
Part D 
Sophia bought a rug. The rug covers $$ \frac{2}{3} $$ of the floor. What is the area, in square feet, of the rug? Show or explain how you got your answer. 
Enter your answer and your work or explanation in the space provided. 
",5,5.NF.4,MCAS,2
"Which of these is equal to this expression? 
$$ 9 \times 8 $$ 
 A $$ \left( 5 \times 8 \right) + \left( 4 \times 8 \right) $$ 
 B $$ \left( 5 + 8 \right) \times \left( 4 + 8 \right) $$ 
 C $$ \left( 5 \times 8 \right) \times \left( 4 \times 8 \right) $$ 
 D $$ \left( 5 + 8 \right) + \left( 4 + 8 \right) $$ 

",3,3.OA.5,MCAS,0
"Betty is saving money for a new wallet which costs $100. Betty has only half of the money she needs. Her parents decided to give her $15 for that purpose, and her grandparents twice as much as her parents. How much more money does Betty need to buy the wallet?",3,"['3.OA.A.3', '2.NBT.B.5']",GSM8K-TRAIN,0
"Marvin surveyed his classmates to find out their favorite sports. Each classmate chose only one sport. The results of his survey are represented in the circle graph below. 
Classmates’ Favorite Sports y2016_grade6_q7_img_1.png 
In all, Marvin surveyed 48 of his classmates. An equal number of Marvin’s classmates chose baseball and football. Based on the circle graph, what is the total number of classmates who chose baseball as their favorite sport? 
",6,6.SP.4,MCAS,3
"Ms. Smith and Mr. Lin are both mathematics teachers. These graphs show the amounts of money Ms. Smith and Mr. Lin charge for different numbers of hours of tutoring. 
Ms. Smith’s
Tutoring Charges y2018_grade6_q11_img_1.png 
Mr. Lin’s
Tutoring Charges y2018_grade6_q11_img_2.png 
Based on the graphs, how much more does Ms. Smith charge for 6 hours of tutoring than Mr. Lin charges for 6 hours of tutoring? 
 A $50 
 B $60 
 C $180 
 D $240 

",6,6.EE.9,MCAS,3
Ava and Shannon are baking pies for a bake sale. Ava baked 14 apple pies and 8 blueberry pies. Shannon baked 12 apple pies and 4 blueberry pies. Who baked a higher ratio of apple pies to blueberry pies?,3,['3.NF.A.3.c'],ASDiv,0
"Mason wrote the expression shown below. 
$$5\left(y + 2\right)$$ 
Write an expression that is equivalent to Mason’s expression. 
",6,6.EE.3,MCAS,3
"A box in the shape of a rectangular prism has the dimensions shown below. 
y2015_grade5_q1_img_1.png 
What is the volume of the box? 
 A 36 cubic meters 
 B 60 cubic meters 
 C 72 cubic meters 
 D 84 cubic meters 

",5,5.MD.5,MCAS,2
"Mr. Jones put 162 books on the library shelves. There are 6 shelves. He put the same number of books on each shelf. How many books did Mr. Jones put on each shelf? 
 A 22 
 B 26 
 C 27 
 D 28 

",4,4.NBT.6,MCAS,1
"A freight train traveled 144 miles in 6 hours. At what rate, in miles per hour, did the train travel? 
Enter your answer in the answer boxes at the top of the answer grid and completely fill the matching circles. 
",6,6.RP.2,MCAS,3
"Which of these shapes has exactly one line of symmetry? 
 A y2018_grade4_q33_img_1.png 
 B y2018_grade4_q33_img_2.png 
 C y2018_grade4_q33_img_3.png 
 D y2018_grade4_q33_img_4.png 

",4,4.G.3,MCAS,1
"The 7 children in a family equally shared 4 pizzas. All the pizzas were the same size. Which fraction represents the amount of pizza in each child’s share? 
 A $$ \frac{4}{7} $$ 
 B $$ \frac{7}{4} $$ 
 C $$ 1 \frac{3}{7} $$ 
 D $$ 1 \frac{4}{7} $$ 

",5,5.NF.3,MCAS,2
"Which of these numbers has a 5 whose value is ten times the value of the 5 in 7359? 
 A 5268 
 B 4652 
 C 3005 
 D 2511 

",4,4.NBT.1,MCAS,1
"Anton cut a large piece of cloth into small rectangles. Each small rectangle has the same area. The area of each small rectangle is $$\frac{1}{8}$$ the area of the large piece. 
How many small rectangles did Anton cut the large piece of cloth into? 
 A 1 
 B 7 
 C 8 
 D 9 

",3,3.G.2,MCAS,0
"Nick ran a race in 14.56 seconds. Casey ran the race in 14.58 seconds. 
At which place value are Nick’s and Casey’s race times different? 
 A tens 
 B ones 
 C tenths 
 D hundredths 

",4,4.NF.7,MCAS,1
"Kenji has 7 times as many baseball cards as Logan. Logan has 360 baseball cards. 
Which equation can be used to find n, the number of baseball cards Kenji has? 
 A $$ 7 \times n = 360 $$ 
 B $$ 7 + n = 360 $$ 
 C $$ 360 \times 7 = n $$ 
 D $$ 360 + 7 = n $$ 

",4,4.OA.2,MCAS,1
"Which of the following statements best describes the solution of this inequality? 
$$ x < 9 $$ 
 A There is no solution. 
 B There is exactly one solution. 
 C There are exactly eight solutions. 
 D There are infinitely many solutions. 

",6,6.EE.8,MCAS,3
"In the geometric sequence with a first term of $6$ and a second term of $-6$, what is the $205^{th}$ term?",3,['3.OA.D.9'],GSM8K-TRAIN,0
"The value of the 6 in 56,273 is how many times the value of the 6 in 48,624? 
Enter your answer in the answer boxes at the top of the answer grid and completely fill the matching circles. 
",4,4.NBT.1,MCAS,1
"Amy’s house has a porch that is covered with 1-square-foot tiles. The porch is in the shape of a rectangle, as shown below. 
y2016_grade3_q10_img_1.png 
Amy counted the tiles to find the area of the porch. 
Which of these is another way Amy could find the area, in square feet, of the porch? 
 A $$\left(4 + 3\right) + \left(4 + 3\right)$$ 
 B $$\left(4 \times 3\right) + \left(4 \times 3\right)$$ 
 C $$4 + 3$$ 
 D $$4 \times 3$$ 

",3,3.MD.7,MCAS,0
"Which of the following expressions has a product that contains 6 zeros? 
 A $$6 \times 10^{4}$$ 
 B $$8.3 \times 10^{5}$$ 
 C $$2.4 \times 10^{6}$$ 
 D $$41 \times 10^{6}$$ 

",5,5.NBT.2,MCAS,2
"The value of the 7 in 27,459 is how many times the value of the 7 in 40,735? 
",5,5.NBT.1,MCAS,2
"This picture shows some of the streets in Nathan’s neighborhood. 
y2017_grade4_q4_img_1.png 
Which of the following best represents two streets that are perpendicular? 
 A Elm St. and Oak St. 
 B Elm St. and Aspen St. 
 C Oak St. and Pine St. 
 D Pine St. and Aspen St. 

",4,4.G.1,MCAS,1
"Ken created a care package to send to his brother, who was away at boarding school.  Ken placed a box on a scale, and then he poured into the box enough jelly beans to bring the weight to 2 pounds.  Then, he added enough brownies to cause the weight to triple.  Next, he added another 2 pounds of jelly beans.  And finally, he added enough gummy worms to double the weight once again.  What was the final weight of the box of goodies, in pounds?",3,"['3.OA.A.3', '1.OA.A.1']",GSM8K-TRAIN,0
"Which of the following number lines best represents all the solutions of the inequality $$x < 4$$? 
 A y2016_grade6_q2_img_1.png 
 B y2016_grade6_q2_img_2.png 
 C y2016_grade6_q2_img_3.png 
 D y2016_grade6_q2_img_4.png 

",6,6.EE.8,MCAS,3
"Tom used 1-centimeter blocks to build a cube, as shown below. 
y2015_grade5_q19_img_1.png 
What is the volume, in cubic centimeters, of the cube Tom built? 
",5,5.MD.4,MCAS,2
"Which fraction is less than $$ \frac{1}{2} $$ ? 
 A $$ \frac{6}{12} $$ 
 B $$ \frac{5}{8} $$ 
 C $$ \frac{4}{6} $$ 
 D $$ \frac{2}{5} $$ 

",4,4.NF.2,MCAS,1
"A construction team uses 184 sheets of plywood for each house it builds. The team will build 12 houses this year. 
What is the total number of sheets of plywood the team will use to build all 12 houses? 
",5,5.NBT.5,MCAS,2
"The diagram below shows some model airplanes and some model ships. 
y2016_grade6_q1_img_1.png 
What is the ratio of the number of model airplanes to the number of model ships? 
 A 8 : 3 
 B 5 : 3 
 C 3 : 8 
 D 3 : 5 

",6,6.RP.1,MCAS,3
"The shape below has a total area of 1 square unit. The shape is divided into equal parts. One part of the shape is shaded. 
y2015_grade3_q15_img_1.png 
What is the area, in square units, of the shaded part of the shape? Write your answer as a fraction in the Answer Box below. 
Answer Box y2015_grade3_q15_img_2.png 
",3,3.G.2,MCAS,0
"Victor wants to estimate the sum of this expression. 
$$ 24.8 + 26.82 + 24.3 + 25.7 $$ 
Which of the following is closest in value to the sum? 
 A $$ 4 \times 20 $$ 
 B $$ 4 \times 25 $$ 
 C $$ 4 \times 30 $$ 
 D $$ 3 \times 25 $$ 

",5,5.NBT.4,MCAS,2
"A diagram of Parvati’s garden and the lengths of all its sides are shown below. 
Parvati’s Garden y2016_grade4_q20_img_1.png 
Parvati wants to put a fence around her whole garden. What is the least number of yards of fence she will need? 
 A 24 yards 
 B 28 yards 
 C 36 yards 
 D 48 yards 

",4,4.MD.3,MCAS,1
"What is the missing number that makes the number sentence below true? 
$$165 + \boxed{?} = 214$$ 
 A 49 
 B 51 
 C 169 
 D 379 

",3,3.NBT.2,MCAS,0
"Which of the following shapes has exactly two lines of symmetry? 
 A y2016_grade4_q6_img_1.png 
 B y2016_grade4_q6_img_2.png 
 C y2016_grade4_q6_img_3.png 
 D y2016_grade4_q6_img_4.png 

",4,4.G.3,MCAS,1
"Zoe recorded the number of hours she worked each day for 5 days. Her data set is shown in the box below. 
4, 8, 2, 3, 8 
a. {'element_type': 'text-plain', 'element_value': 'What is the median number of hours Zoe worked for the 5 days? Show or explain how you got your answer.'} 
b. {'element_type': 'text-plain', 'element_value': 'What is the mean number of hours Zoe worked for the 5 days? Show or explain how you got your answer.'} 
Lance also recorded the number of hours he worked each day for 5 days. His data set is shown in the box below. 
2, 2, 3, 5, 8 
c. {'element_type': 'text-plain', 'element_value': 'Which measure is the same for both Zoe’s and Lance’s data sets: median, mean, or range? Show or explain how you got your answer.'} 
",6,6.SP.5,MCAS,3
"The recipe on a box of pancake mix tells how many cups of pancake mix are needed to make different numbers of pancakes, as shown in the table below. 
Pancake Recipe y2016_grade4_q16_img_1.png 
Based on the information in the table, how many pancakes can be made with 6 cups of pancake mix? 
 A 39 
 B 40 
 C 46 
 D 48 

",4,4.OA.5,MCAS,1
"Eric divided the sum of 5 and 7 by 6. Which of the following is another way to express Eric’s calculations? 
 A $$\left( 7 \times 6 \right) \div 5$$ 
 B $$5 \div \left( 7 \times 6 \right)$$ 
 C $$\left( 7 + 5 \right) \div 6$$ 
 D $$6 \div \left( 7 + 5 \right)$$ 

",5,5.OA.2,MCAS,2
"Paloma shaded a circle to model a fraction that is equivalent to $$ \frac{6}{10} $$ . Which of these could be the circle Paloma shaded? 
 A y2018_grade4_q32_img_1.png 
 B y2018_grade4_q32_img_2.png 
 C y2018_grade4_q32_img_3.png 
 D y2018_grade4_q32_img_4.png 

",4,4.NF.1,MCAS,1
James writes a 3-page letter to 2 different friends twice a week.  How many pages does he write a year?,4,"['3.OA.A.3', '4.NBT.B.5']",GSM8K-TRAIN,1
"A circular pool is located in the center of a square park. The park, the pool, and some of their dimensions are shown in the diagram below. 
Park y2016_grade6_q12_img_1.png 
a. {'element_type': 'text-plain', 'element_value': 'What is the radius, in yards, of the pool? Show or explain how you got your answer.'} 
b. {'element_type': 'text+math_expression', 'element_value': 'What is the circumference, in yards, of the pool? Show or explain how you got your answer. (Use 3.14 for $$\\pi$$.)'} 
c. {'element_type': 'text+math_expression', 'element_value': 'What is the area, in square yards, of the pool? Show or explain how you got your answer. (Use 3.14 for $$\\pi$$.)'} 
The ground in the park surrounding the pool is covered with grass. 
d. {'element_type': 'text-plain', 'element_value': 'What is the total area, in square yards, of the ground in the park that is covered with grass? Show or explain how you got your answer.'} 
",6,6.G.1,MCAS,3
"What is the value of this expression? 
$$ 4 \times \left(10 − 2 \right) $$ 
 A 32 
 B 38 
 C 40 
 D 48 

",5,5.OA.1,MCAS,2
"A food company packages flavor cubes used for making soup. The flavor cubes are packaged in a box that is in the shape of a rectangular prism. 
 2_1 Each flavor cube has an edge length of 1 centimeter. 
 2_2 Each box holds exactly 2 layers of flavor cubes with no gaps or spaces. 
 2_3 Each layer in the box holds 9 flavor cubes. 

What is the volume of one box of flavor cubes? 
 A 12 cubic centimeters 
 B 13 cubic centimeters 
 C 18 cubic centimeters 
 D 19 cubic centimeters 

",5,5.MD.3,MCAS,2
"Abigail and Casey each ordered a pizza for lunch. Both pizzas were the same size. The pizzas could be cut into either 2, 4, 6, or 8 equal pieces. 
a. {'element_type': 'text-plain', 'element_value': 'Abigail ordered her pizza cut so that each piece had the smallest possible area. What fraction of Abigail’s whole pizza is one piece?'} 
b. {'element_type': 'text+math_expression', 'element_value': 'Casey ordered his pizza cut so that it had half as many pieces as Abigail’s pizza. Write a number sentence to compare a fraction that represents one piece of Casey’s pizza and a fraction that represents one piece of Abigail’s pizza. Use $$>$$, $$<$$, or $$=$$ in your number sentence.'} 
",3,3.NF.3,MCAS,0
"What is the value of this expression? 
$$ 6 \times \left( 11 − 8 \right) − 3 $$ 
Enter your answer in the answer boxes at the top of the answer grid and completely fill the matching circles. 
",5,5.OA.1,MCAS,2
"Camila counted by 8s starting at 0. 
Which of these statements is true? 
 A All of the numbers Camila counted were odd. 
 B All of the numbers Camila counted were even. 
 C All of the numbers Camila counted ended in 2, 4, or 8. 
 D Some of the numbers Camila counted were even, and some were odd. 

",3,3.OA.9,MCAS,0
"Which expression is equal to $$ \frac{8}{2} $$ ? 
 A $$ 2 + \frac{1}{8} $$ 
 B $$ 2 \times \frac{1}{8} $$ 
 C $$ 8 + \frac{1}{2} $$ 
 D $$ 8 \times \frac{1}{2} $$ 

",4,4.NF.4,MCAS,1
"Ms. Nelson needs $$5\frac{1}{2}$$ yards of fabric to make 2 identical dresses. How much fabric is needed to make each dress? 
 A $$2\frac{3}{4}$$ yards 
 B $$2\frac{7}{8}$$ yards 
 C 3 yards 
 D 11 yards 

",6,6.NS.1,MCAS,3
"A decimal number is missing from the number sentence below. 
$$0.24 \gt \boxed{?}$$ 
Which of the following represents a decimal number that belongs in the to make the $$\boxed{?}$$ number sentence true? 
 A y2015_grade4_q11_img_1.png 
 B y2015_grade4_q11_img_2.png 
 C y2015_grade4_q11_img_3.png 
 D y2015_grade4_q11_img_4.png 

",4,4.NF.7,MCAS,1
"Which of these is a right triangle? 
 A y2016_grade4_q15_img_1.png 
 B y2016_grade4_q15_img_2.png 
 C y2016_grade4_q15_img_3.png 
 D y2016_grade4_q15_img_4.png 

",4,4.G.2,MCAS,1
"Jackie’s piano lesson starts at the time shown on this clock. 
y2018_grade3_q21_img_1.png 
Which clock also shows the time Jackie’s piano lesson starts? 
 A y2018_grade3_q21_img_2.png 
 B y2018_grade3_q21_img_3.png 
 C y2018_grade3_q21_img_4.png 
 D y2018_grade3_q21_img_5.png 

",3,3.MD.1,MCAS,0
